### - Time: 430 Res: SAT
[1, 5]: aipg(2, t) <= 1
[13, 13]: aipg(2, t) >= 1
[13, 13]: aipg(2, t) <= 1
[13, 13]: cenq(4, t) == 5
[14, 14]: aipg(0, t) == 1

### - Time: 509 Res: SAT
[1, 8]: cenq(4, t) <= 2
[9, 12]: aipg(2, t) <= 1
[13, 13]: aipg(2, t) >= 1
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) == 2
[13, 13]: aipg(3, t) <= 1

### - Time: 505 Res: SAT
[1, 8]: cenq(4, t) <= 2
[9, 12]: aipg(2, t) <= 1
[13, 13]: aipg(3, t) == 1
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) == 2

### - Time: 507 Res: SAT
[1, 8]: cenq(4, t) <= 2
[9, 12]: aipg(2, t) <= 1
[13, 13]: aipg(3, t) == 1
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) == 2
[13, 13]: aipg(2, t) <= 1
[14, 14]: aipg(2, t) <= 1

### - Time: 423 Res: SAT
[1, 8]: cenq(4, t) <= 2
[9, 12]: aipg(2, t) <= 1
[13, 13]: aipg(3, t) == 1
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) == 2
[13, 13]: aipg(2, t) <= 1
[14, 14]: aipg(2, t) == 1

### - Time: 426 Res: SAT
[1, 8]: cenq(4, t) <= 2
[11, 12]: aipg(3, t) <= 1
[11, 12]: aipg(2, t) <= 1
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) == 2
[13, 13]: aipg(3, t) <= 1
[13, 13]: aipg(3, t) <= 3
[14, 14]: aipg(3, t) <= 1
[14, 14]: aipg(2, t) == 1

### - Time: 430 Res: SAT
[1, 6]: cenq(4, t) <= 2
[1, 8]: cenq(4, t) <= 2
[7, 8]: aipg(4, t) >= 2
[9, 12]: aipg(4, t) >= 2
[9, 12]: aipg(4, t) == 2
[13, 13]: aipg(4, t) >= 2
[13, 13]: aipg(3, t) <= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(2, t) == 1
[14, 14]: aipg(3, t) <= 2

### - Time: 513 Res: SAT
[1, 6]: cenq(4, t) <= 2
[7, 8]: aipg(4, t) >= 2
[9, 12]: aipg(4, t) == 2
[9, 12]: aipg(4, t) >= 2
[13, 13]: aipg(0, t) <= 2
[13, 13]: aipg(4, t) >= 2
[14, 14]: aipg(2, t) == 1
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(3, t) <= 2

### - Time: 452 Res: SAT
[1, 6]: cenq(4, t) <= 2
[7, 8]: aipg(4, t) >= 2
[9, 12]: aipg(4, t) == 2
[13, 13]: aipg(0, t) <= 2
[13, 13]: aipg(4, t) >= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(4, t) >= 2

### - Time: 420 Res: SAT
[1, 6]: cenq(4, t) <= 2
[7, 8]: aipg(4, t) >= 2
[9, 12]: aipg(4, t) == 2
[13, 13]: aipg(4, t) >= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(4, t) == 2

### - Time: 424 Res: SAT
[1, 6]: cenq(4, t) <= 1
[7, 8]: aipg(4, t) >= 2
[9, 12]: aipg(4, t) == 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(4, t) == 2

### - Time: 2326 Res: UNSAT
[1, 6]: cenq(4, t) <= 1
[7, 8]: aipg(4, t) >= 2
[9, 12]: aipg(4, t) == 2
[13, 13]: cenq(4, t) == 5
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(4, t) == 2

### - Time: 1659 Res: UNSAT
[1, 6]: cenq(4, t) <= 1
[7, 8]: aipg(4, t) >= 2
[9, 12]: aipg(4, t) == 2
[13, 13]: cenq(4, t) == 5
[14, 14]: aipg(4, t) == 2

